Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
phucanh.vn,100,90,100,70,A,
hdbank.com.vn,100,90,100,70,A,
gosell.vn,100,70,100,70,B,
misa.com.vn,100,80,100,100,A+,
tdb.com.vn,100,100,100,100,A+,
baolac-caobang.edu.vn,100,90,100,0,E,
giaoduc.edu.vn,100,70,100,70,B,
thanhtra.com.vn,100,70,100,70,B,
thientue.vn,100,70,100,70,B,
hanoitv.vn,100,70,100,70,B,
nhathuocnamviet.vn,100,80,100,100,A+,
fukurai.com.vn,100,90,100,70,A,
kidsplaza.vn,100,70,100,70,B,
fxaudio.vn,100,90,100,0,E,
myduc.edu.vn,100,90,100,70,A,
thucphambanhat.com.vn,100,100,100,100,A+,
reatimes.vn,100,80,100,100,A+,
fuma.com.vn,100,70,100,70,B,
chuthapdohatinh.org.vn,100,90,100,70,A,
phunuvagiadinh.vn,100,70,100,70,B,
tuvikhoahoc.vn,100,80,100,100,A+,
hoithuysanninhthuan.org.vn,100,100,100,100,A+,
sgtt.vn,100,100,100,100,A+,
webthethao.vn,100,80,100,100,A+,
ben.com.vn,100,100,100,100,A+,
hanam.gov.vn,100,70,100,0,E,
tuvivietnam.vn,100,100,100,100,A+,
vinaconexmec.vn,100,90,100,70,A,
hoacuoivip.vn,100,80,100,100,A+,
scb.com.vn,100,70,100,70,B,
ssi.com.vn,100,70,100,70,B,
lamhoang.edu.vn,100,70,100,70,B,
giadinhmoi.vn,100,80,100,100,A+,
ebara.vn,100,100,100,100,A+,
oyou.com.vn,100,90,100,0,E,
mywork.com.vn,100,100,100,100,A+,
saigon-gpdaily.com.vn,100,80,100,100,A+,
tuyengiao.vn,100,70,100,30,D,
tuankiet.com.vn,100,80,100,100,A+,
vinagimexhn.vn,100,100,100,100,A+,
kasei.vn,100,80,100,100,A+,
khoahocdoisong.vn,100,100,100,100,A+,
whitehat.vn,100,80,100,100,A+,
orchard.vn,100,80,100,100,A+,
vfa.gov.vn,100,70,100,0,E,
tiasang.com.vn,100,100,100,100,A+,
pro.edu.vn,100,90,100,0,E,
iser.edu.vn,100,100,100,100,A+,
haiquanonline.com.vn,100,70,100,70,B,
tuvi.vn,100,100,100,100,A+,
phutam.edu.vn,100,100,100,100,A+,
noithatthaibinh.vn,100,80,100,100,A+,
eximbank.com.vn,100,100,100,100,A+,
saigonmobile.vn,100,80,100,100,A+,
baodantoc.vn,100,70,100,70,B,
laocai.gov.vn,100,70,100,0,E,
saam.vn,100,100,100,100,A+,
angiang.gov.vn,100,90,100,70,A,
vanlanguni.edu.vn,100,70,100,70,B,
baolongan.vn,100,100,100,100,A+,
hanoicomputer.vn,100,70,100,70,B,
hauionline.edu.vn,100,90,100,70,A,
myauris.vn,100,100,100,100,A+,
vietseo.edu.vn,100,90,100,100,A+,
anaimmi.com.vn,100,100,100,100,A+,
thuvienphapluat.edu.vn,100,100,100,100,A+,
bitly.vn,100,90,100,0,E,
ybox.vn,100,80,100,100,A+,
vnua.edu.vn,100,70,100,70,B,
vietnamnongnghiepsach.com.vn,100,100,100,100,A+,
ninhthuan.gov.vn,100,70,100,0,E,
bazaarvietnam.vn,100,70,100,70,B,
badi.com.vn,100,70,100,70,B,
knxvietnam.vn,100,100,100,100,A+,
baoangiang.com.vn,100,100,100,100,A+,
nlv.gov.vn,100,90,100,0,E,
thethao.vn,100,90,100,70,A,
marrybaby.vn,100,100,100,100,A+,
now.vn,100,90,100,70,A,
laodongthudo.vn,100,90,100,70,A,
baoquangngai.vn,100,70,100,70,B,
yume.vn,100,80,100,100,A+,
moitruongvadothi.vn,100,80,100,100,A+,
petrolimex.com.vn,100,70,100,70,B,
vietgiao.edu.vn,100,70,100,70,B,
petgold.vn,100,70,100,70,B,
coinmarketcap.vn,100,70,100,70,B,
baobinhduong.vn,100,90,100,70,A,
toshino.vn,100,100,100,100,A+,
vndirect.com.vn,100,100,100,100,A+,
monda.vn,100,70,100,30,D,
thoibaonganhang.vn,100,90,100,70,A,
f12.vn,100,100,100,100,A+,
vkskontum.gov.vn,100,90,100,70,A,
thanglongdaoquan.vn,100,70,100,100,A,
cohoc.vn,100,100,100,100,A+,
sweetiehouse.vn,100,100,100,100,A+,
trithuccuocsong.vn,100,100,100,100,A+,
haui.edu.vn,100,70,100,70,B,
timviec.com.vn,100,80,100,100,A+,
invert.vn,100,70,100,70,B,
dantocmiennui.vn,100,90,100,70,A,
uel.edu.vn,100,70,100,70,B,
vncdc.gov.vn,100,90,100,0,E,
sgtiepthi.vn,100,100,100,100,A+,
noithatfuturehome.vn,100,90,100,0,E,
icon.com.vn,100,90,100,70,A,
dongabank.com.vn,100,90,100,70,A,
phutho.gov.vn,100,70,100,70,B,
backlink.com.vn,100,90,100,0,E,
mytour.vn,100,80,100,100,A+,
tedin.com.vn,100,100,100,100,A+,
lamthenaoaz.vn,100,90,100,0,E,
nhadautu.vn,100,70,100,70,B,
baokhanhhoa.vn,100,90,100,70,A,
baogialai.com.vn,100,70,100,70,B,
baobithangloi.com.vn,100,100,100,100,A+,
phanboneakmat.vn,100,100,100,100,A+,
baclieu.gov.vn,100,100,100,100,A+,
hostinger.vn,100,80,100,100,A+,
asiaglobaltravel.com.vn,100,90,100,100,A+,
vast.ac.vn,100,100,100,100,A+,
vn-z.vn,100,80,100,100,A+,
nghean.gov.vn,100,70,100,0,E,
rubyco.com.vn,100,100,100,100,A+,
4share.vn,100,100,100,100,A+,
ocb.com.vn,100,90,100,70,A,
esuhai.vn,100,80,100,100,A+,
baobariavungtau.com.vn,100,70,100,70,B,
khoahocphattrien.vn,100,70,100,70,B,
saigondautu.com.vn,100,100,100,100,A+,
